skill,course_name,course_type,difficulty_level,duration,avg_rating,num_ratings,is_free,is_coursera_plus,partners,course_url
Version Control,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Hypertext Markup Language (HTML),Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
GitHub,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Git (Version Control System),Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
HTML and CSS,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Cascading Style Sheets (CSS),Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Web Design and Development,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Web Development,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Web Design,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Image Quality,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Web Content,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Web Servers,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Semantic Web,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
Cloud Hosting,Introduction to Web Development,COURSE,BEGINNER,ONE_TO_FOUR_WEEKS,4.659385113268608,3708,false,true,"University of California, Davis",https://www.coursera.org/learn/web-development
